설치장소,주소,급속충전기(대),지원차종
대우한강베네시티 아파트,서울특별시 강동구 올림픽로 664,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
둔촌푸르지오아파트,서울특별시 강동구 둔촌동 명일로 172,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
명일동 공영주차장,서울특별시 강동구 구천면로 395(명일동),2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
명일한양아파트,서울특별시 강동구 명일동 동남로71길 19,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
삼익가든아파트,서울특별시 강동구 명일동 260-1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
성내1차이편한세상,서울특별시 강동구 성내동 598,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
성내동중앙하이츠,서울특별시 강동구 성내동 410-2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
성내삼성 아파트,서울특별시 강동구 성내동 풍성로 128,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
신성둔촌미소지움아파트 입주자대표회의,서울특별시 강동구 둔촌동 명일로 102,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
암사라인 아파트,서울특별시 강동구 암사동 고덕로 53,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
암펠로스타워,서울특별시 강동구 둔촌동 명일로 110,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
천호1동 공영주차장,서울특별시 강동구 구천면로 42길 60(천호동),2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
천호유수지,서울특별시 강동구 천호동 329,2,"SM3 Z.E,테슬라"
한강포스파크아파트,서울특별시 강동구 암사동 고덕로19길 30,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
