충전소ID,충전소명,충전소주소,상세주소,위도,경도,이용가능시간,연락처
2129,홈플러스 대전가오점,대전광역시 동구 은어송로 72,지하주차장,36.306961,127.458865,홈플러스 영업시간 기준,1899-2100
2130,홈플러스 계룡점,충청남도 계룡시 계룡대로 304,지하주차장,36.274345,127.257557,10:00 ~ 24:00,1899-2100
2135,백두대간 생태교육관,전라북도 남원시 운봉읍 주촌리 595-6,생태교육장 주차장 화장실 옆,35.396416,127.506828,24시간,1899-2100
2604,동천체육관 주차장,울산광역시 중구 남외동 751-3,동천체육관 동편 출구앞,35.561684,129.351836,24시간,1899-2100
2605,벡스코 제2전시장 지하주차장,부산광역시 해운대구 우동 1413-4,지하주차장,35.16556026,129.1348009,24시간,1899-2100
2606,기후변화체험센터,경기도 용인시 처인구 남동 282,지상주차장,37.22231284,127.2228448,24시간,1899-2100
2451,이동읍사무소,경기도 용인시 처인구 이동읍 송전리 750-3,지상주차장,37.14109755,127.1959484,24시간,1899-2100
2456,동부도서관,경기도 용인시 처인구 역북동 504-1,지상주차장,37.23361319,127.1903166,24시간,1899-2100
2463,아르피아주차장,경기도 용인시 수지구 포은대로 499,B1F 34,37.325114,127.104249,24시간,1899-2100
2473,거류체육공원 주차장,경상남도 고성군 거류면 신용리 888,지상주차장,34.983127,128.405541,24시간,1899-2100
2434,교1동주민센터,강원도 강릉시 교동 1874-3,주민센터 지상주차장,37.76554833,128.8745249,24시간,1899-2100
2436,홍제동 공영주차장,강원도 강릉시 홍제동 157,지상 공영주차장,37.75345,128.882694,24시간,1899-2100
2438,주문진해수욕장,강원도 강릉시 주문진읍 향호리 8-17,주문진해수욕장 지상주차장,37.9101982,128.8178855,24시간,1899-2100
2443,용평리조트,강원도 평창군 대관령면 용산리 130,그린변전실 앞 지상주차장,37.644172,128.676355,24시간,1899-2100
2446,강원랜드,강원도 정선군 사북읍 사북리 424,컨밴션 호텔 정문앞,37.212817,128.822428,24시간,1899-2100
2479,화개장터 주차장,경상남도 하동군 화개면 탑리 734-5,1동앞 지상주차장,35.188769,127.625339,24시간,1899-2100
2482,수동공영주차장,경상남도 함양군 수동면 화산리 1186-4,공중화장실 뒤 지상주차장,35.521412,127.784491,24시간,1899-2100
2485,안동버스터미널 공영주차장,경상북도 안동시 송현동 910-1,지상주차장 입구옆(북측),36.573801,128.676123,24시간,1899-2100
2498,드라마촬영장,전라남도 순천시 비례골길 24,주차장 내 화장실 옆,34.958482,127.538166,09~18시,1899-2100
2525,2생활권 환승주차장2(B),세종특별자치시 나성동 719,지하주차장,36.48073,127.261262,24시간,1899-2100
2531,홈플러스 센텀시티점,"부산광역시 해운대구 센텀동로 6 (우동, 홈플러스센템시티점)",고객주차장내 4층 B구역,35.17091455,129.1336942,10:00 ~ 24:00,1899-2100
2573,청주랜드,충청북도 청주시 상당구 명암로 171,청주랜드 지상주차장,36.649544,127.515195,24시간,1899-2100
2654,마곡수명산파크7단지,서울특별시 강서구 내발산동 수명로2가길 22,지하1층 좌측 끝,37.54766459,126.8219199,06~23시,1899-2100
2657,양덕삼구트리니엔1차,경상북도 포항시 북구 양덕동 1463,지하 1층 B33구역,36.083961,129.40008,24시간,1899-2100
2659,일성르네상스,경상남도 통영시 무전동 무전5길 45,관리사무소 앞 지상주차장,34.862216,128.426336,24시간,1899-2100
2663,복현명문세가2단지,대구광역시 북구 복현동 복현로 50,203동 지하2층 주차장,35.896978,128.624878,24시간,1899-2100
2664,도안7단지예미지아파트,대전광역시 유성구 봉명동 1037,지하주차장,36.347148,127.344861,24시간,1899-2100
2665,진주푸르지오1단지아파트,경상남도 진주시 금산면 덕의길 15,102동뒤 지상주차장,35.219277,128.146288,24시간,1899-2100
2670,메가센텀꿈에그린아파트,부산광역시 해운대구 반여동 1662,지하주차장,35.19806414,129.122012,24시간,1899-2100
2671,푸른마을10단지,경기도 고양시 덕양구 고양동 푸른마을로120번길 34,지하,37.71533159,126.9030474,24시간,1899-2100
2673,구월아시아드선수촌6단지,인천광역시 남동구 구월동 1524,지하1층 16번기둥 602동옆,37.44167,126.714172,24시간,1899-2100
2675,리첸시아방배,서울특별시 서초구 방배동 755-14,B4-06,37.49727699,126.9857331,24시간,1899-2100
2682,중계건영3차아파트,"서울특별시 노원구 노원로22길 71 (중계동, 건영3차아파트)",306동 앞 지하1층 B9,37.648587,127.074654,24시간,1899-2100
2686,매탄주공그린빌2단지,경기도 수원시 영통구 매탄동 매탄로126번길 66,204동 앞 B2F,37.260468,127.046618,24시간,1899-2100
2690,한일써너스빌 아파트,서울특별시 중랑구 상봉동 81-5,"지하1층 주차장 102동 1,3라인 앞",37.597381,127.091548,24시간,1899-2100
2691,목동힐스테이트아파트,서울특별시 양천구 신정동 중앙로36길 15,지하2층 115동 앞,37.5207747,126.8559473,06~23시,1899-2100
