노선번호,도로명,이정,X좌표값,Y좌표값,GRS80X좌표값,GRS80Y좌표값
303,청주상주선,130.3,36.41671744,128.7742088,359130.9482,425747.7327
303,청주상주선,130.4,36.41678853,128.7753202,359230.4958,425757.4571
303,청주상주선,130.5,36.41681873,128.7764344,359330.3825,425762.6482
303,청주상주선,130.6,36.41680797,128.7775492,359430.402,425763.2951
303,청주상주선,130.7,36.41675626,128.7786623,359530.3476,425759.3966
303,청주상주선,130.8,36.41666372,128.7797713,359630.0128,425750.9609
303,청주상주선,130.9,36.41653054,128.7808739,359729.1919,425738.005
303,청주상주선,131,36.41635699,128.7819679,359827.6798,425720.556
303,청주상주선,131.1,36.41614343,128.783051,359925.2732,425698.6495
303,청주상주선,131.2,36.41589031,128.784121,360021.7704,425672.3313
303,청주상주선,131.3,36.41559857,128.7851758,360116.9887,425641.7039
303,청주상주선,131.4,36.41529284,128.7862247,360211.6985,425609.5146
303,청주상주선,131.5,36.41498711,128.7872735,360306.4084,425577.3252
303,청주상주선,131.6,36.41468136,128.7883223,360401.1182,425545.1359
303,청주상주선,131.7,36.4143756,128.7893711,360495.8282,425512.9464
303,청주상주선,131.8,36.41406984,128.7904199,360590.5381,425480.757
303,청주상주선,131.9,36.41376714,128.7914701,360685.3627,425448.9114
303,청주상주선,132,36.41349486,128.7925328,360781.2547,425420.4629
303,청주상주선,132.1,36.41325983,128.793609,360878.2836,425396.1728
303,청주상주선,132.2,36.41306249,128.7946968,360976.2691,425376.0862
303,청주상주선,132.3,36.41290322,128.7957941,361075.0291,425360.2405
303,청주상주선,132.4,36.41278229,128.7968989,361174.3802,425348.6651
303,청주상주선,132.5,36.41269995,128.798009,361274.1379,425341.3815
303,청주상주선,132.6,36.41265634,128.7991226,361374.1168,425338.4032
303,청주상주선,132.7,36.41265154,128.8002374,361474.1313,425339.7357
303,청주상주선,132.8,36.41268556,128.8013514,361573.9954,425345.3767
303,청주상주선,132.9,36.41275834,128.8024626,361673.5238,425355.3156
303,청주상주선,133,36.41286974,128.8035689,361772.5316,425369.534
303,청주상주선,133.1,36.41301957,128.8046682,361870.8347,425388.0054
