sidoName,stationName,mangName,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value,khaiValue
충북,용암동,도시대기,0.001,0.6,0.002,0.019,,,
충북,복대동,도로변대기,0.002,0.7,0.001,0.029,48,32,97
충북,호암동,도시대기,0.003,0.8,0.002,0.015,36,25,74
충북,칠금동,도시대기,0.003,0.6,0.003,0.02,40,28,85
충북,중앙탑면,도시대기,0.002,0.4,0.008,0.028,38,29,85
충북,살미면,도시대기,,0.3,0.007,0.01,30,20,66
충북,장락동,도시대기,0.002,0.7,0.004,0.019,43,23,72
충북,영천동,도시대기,0.003,0.9,0.003,0.02,41,25,79
충북,청풍면,도시대기,0.002,1.1,0.004,0.024,29,26,59
충북,오창읍,도시대기,0.002,0.4,0.004,0.026,39,29,82
충북,산남동,도시대기,0.001,0.5,0.003,0.023,53,36,124
충북,오송읍,도시대기,0.002,0.8,0.002,0.02,49,39,95
충북,가덕면,도시대기,0.001,0.4,0.007,0.01,32,31,101
충북,매포읍,도시대기,0.002,0.8,0.002,0.034,28,20,69
충북,단성면,도시대기,0.004,0.5,0.008,0.015,13,13,43
충북,단양읍,도시대기,0.002,0.8,0.003,0.018,19,9,40
충북,청천면,교외대기,,,,,57,45,
충북,괴산읍,도시대기,0.003,0.5,0.002,0.011,37,31,
충북,감물면,도시대기,0.003,0.5,0.002,0.011,48,48,92
충북,진천읍,도시대기,0.002,0.6,0.003,0.026,42,35,85
충북,덕산읍,도시대기,0.003,0.5,0.004,0.018,44,33,79
충북,금왕,교외대기,0.001,0.5,0.002,0.013,64,39,87
충북,음성읍,도시대기,0.002,0.5,0.002,0.015,45,34,92
충북,소이면,도시대기,0.001,0.5,0.006,0.012,40,36,109
충북,영동읍,도시대기,0.001,0.5,0.004,0.015,25,14,59
충북,도안면,도시대기,0.002,0.5,0.004,0.016,44,36,105
충북,증평읍,도시대기,0.002,0.5,0.007,0.009,31,24,74
충북,보은읍,도시대기,0.002,0.6,0.003,0.012,32,23,100
충북,옥천읍,도시대기,0.001,0.5,0.003,0.022,35,23,79
충북,호암동,도시대기,0.004,1.2,0.002,0.025,40,27,79
충북,칠금동,도시대기,0.005,0.7,0.003,0.023,54,39,87
충북,중앙탑면,도시대기,0.002,0.3,0.01,0.026,45,29,79
충북,살미면,도시대기,,0.3,0.01,0.009,26,20,64
충북,장락동,도시대기,0.003,0.8,0.003,0.023,40,22,69
충북,영천동,도시대기,0.006,1.2,0.003,0.025,40,23,72
충북,청풍면,도시대기,0.001,0.6,0.007,0.017,20,17,
충북,오창읍,도시대기,0.003,0.5,0.003,0.027,53,42,100
충북,산남동,도시대기,0.002,0.6,0.003,0.028,48,36,124
충북,오송읍,도시대기,0.004,0.6,0.002,0.016,59,40,97
충북,가덕면,도시대기,0.001,0.4,0.006,0.013,29,24,90
충북,매포읍,도시대기,0.002,0.8,0.002,0.041,31,24,69
충북,단성면,도시대기,0.004,0.5,0.006,0.02,25,23,54
충북,단양읍,도시대기,0.002,0.5,0.004,0.018,17,5,30
충북,청천면,교외대기,,,,,70,61,
충북,괴산읍,도시대기,0.004,0.7,0.001,0.013,35,,97
충북,감물면,도시대기,0.003,0.4,0.003,0.012,29,,85
충북,진천읍,도시대기,0.003,0.9,0.002,0.029,57,44,100
충북,덕산읍,도시대기,0.003,0.4,0.005,0.021,43,34,87
충북,금왕,교외대기,0.001,0.6,0.002,0.02,80,48,116
충북,음성읍,도시대기,0.002,0.7,0.002,0.022,48,36,112
충북,소이면,도시대기,0.001,0.6,0.007,0.014,38,37,135
충북,영동읍,도시대기,0.002,0.6,0.003,0.018,29,19,82
충북,도안면,도시대기,0.002,0.7,0.002,0.017,54,41,116
충북,증평읍,도시대기,0.002,0.4,0.003,0.016,28,21,74
충북,보은읍,도시대기,0.002,0.7,0.001,0.016,42,31,100
충북,옥천읍,도시대기,0.004,0.8,0.002,0.032,54,38,82
충북,송정동(봉명동),도시대기,0.003,1.1,0.004,0.041,64,43,124
충북,사천동,도시대기,0.003,0.9,0.002,0.03,49,41,128
충북,용담동,도시대기,0.002,0.5,0.002,0.031,29,21,69
충북,용암동,도시대기,0.002,0.6,0.002,0.023,,,
충북,복대동,도로변대기,0.004,0.8,0.002,0.04,65,44,101
충북,송정동(봉명동),도시대기,0.003,0.9,0.002,0.032,61,37,120
충북,사천동,도시대기,0.002,0.5,0.002,0.028,41,29,101
