시도,행정구,법정동,행정동,주차장명,주차장구분,주차장유형,소재지지번주소,주차구획수,위도,경도
부산광역시,서구,암남동,암남동,서구 원양로제2공영,공영,노상,부산광역시 서구 암남동  633-2,24,35.07181963,129.007192
부산광역시,해운대구,우동,우1동,해운대역주차장,민영,노외,부산광역시 해운대구 우1동 552-21,20,35.16516429,129.1606061
부산광역시,해운대구,좌동,좌1동,일승주차장,민영,노외,부산광역시 해운대구 좌1동 420-1,14,35.17367003,129.1770686
부산광역시,해운대구,반여동,반여1동,장원주차장,민영,노외,부산광역시 해운대구 반여1동 1244-4,12,35.20525603,129.1248758
부산광역시,해운대구,반송동,반송1동,진영주차장,민영,노외,부산광역시 해운대구 반송1동 250-2296,7,35.2199195,129.1529977
부산광역시,해운대구,중동,중1동,삼성주차장,민영,노외,부산광역시 해운대구 중1동 1382-1,84,35.16191331,129.1617385
부산광역시,해운대구,재송동,재송1동,성진주차장,민영,노외,부산광역시 해운대구 재송1동 1118-4,16,35.18533682,129.1261253
부산광역시,해운대구,우동,우1동,태영주차장,민영,노외,부산광역시 해운대구 우1동 544-1,12,35.16156344,129.1598118
부산광역시,해운대구,좌동,좌1동,좌동청소년문화의집부지 공영,공영,노외,부산광역시 해운대구 좌1동  1458-4번지,49,35.17017968,129.174931
부산광역시,해운대구,중동,중1동,문탠로드관광 공영,공영,노외,부산광역시 해운대구 중1동  974-1번지,99,35.16068094,129.1718595
부산광역시,해운대구,재송동,재송2동,재송2동 공영,공영,노외,부산광역시 해운대구 재송2동  1042-3번지,114,35.19240057,129.1267186
부산광역시,해운대구,반송동,반송동,반송2동 공영,공영,노외,부산광역시 해운대구 반송동  303번지,291,35.22964338,129.1518428
부산광역시,해운대구,중동,중2동,해월정 달맞이길 공영,공영,노외,부산광역시 해운대구 중2동  산42-20번지,52,35.15884528,129.1831478
부산광역시,해운대구,우동,우1동,동백 공영,공영,노외,부산광역시 해운대구 우1동  1151-3번지,72,35.15792989,129.1534137
부산광역시,해운대구,중동,중동,청사포 공영,공영,노외,부산광역시 해운대구 중동  553번지,113,35.16193796,129.1917737
부산광역시,해운대구,반여동,반여동,재반로 노상공영 A,공영,노상,부산광역시 해운대구 반여동 1291-1199,80,35.19634737,129.1308705
부산광역시,수영구,민락동,민락동,민락수변공원 공영주차장,공영,노상,부산광역시 수영구 민락동  110-7,43,35.15661639,129.1334705
부산광역시,수영구,민락동,민락동,민락해변공원 공영주차장,공영,노상,부산광역시 수영구 민락동  181-78,26,35.15424125,129.1265836
부산광역시,수영구,남천동,남천동,남천1동 공영주차장,공영,노상,부산광역시 수영구 남천동  554,66,35.13865583,129.114085
부산광역시,수영구,민락동,민락동,민락매립지 공영주차장,공영,노외,부산광역시 수영구 민락동  113-46,128,35.15497264,129.1276396
부산광역시,해운대구,우동,우동,누리주차장,민영,노외,부산광역시 해운대구 우동  641-14,12,35.16163419,129.1563276
부산광역시,해운대구,좌동,좌동,한라주차장,민영,노외,부산광역시 해운대구 좌동  1521-3,363,0,0
부산광역시,해운대구,좌동,좌동,해운대블루주차장,민영,노외,부산광역시 해운대구 좌동  1360,43,35.1682105,129.1638414
