statNm,statId,chgerId,chgerType,addr,region_2depth_name,region_3depth_name,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,output,method,zcode,zscode,kind,kindDetail,parkingFree
대저역 (대저차량기지) ,ME20C190,91,4,부산광역시 강서구 대저1동 1619,강서구,대저1동,35.2132197,128.9542429,24시간 이용가능,ME,환경부,환경부,1661-9408,0,2.02E+13,2.02E+13,2.02E+13,,100,단독,26,26440,A0,A003,Y
부산환경공단 명지사업소,ME20C191,91,4,부산광역시 강서구 명지오션시티 13로 12-11,강서구,명지동,35.0907501,128.8980436,24시간 이용가능,ME,환경부,환경부,1661-9408,0,2.02E+13,2.02E+13,2.02E+13,,100,단독,26,26440,A0,A003,Y
용호만유람선터미널,ME20C289,21,4,부산광역시 남구 분포로 101,남구,용호동,35.1323819,129.1154628,24시간 이용가능,ME,환경부,환경부,1661-9408,0,2.02E+13,2.02E+13,2.02E+13,,200,동시,26,26290,D0,D006,Y
용호만유람선터미널,ME20C289,22,4,부산광역시 남구 분포로 101,남구,용호동,35.1323819,129.1154628,24시간 이용가능,ME,환경부,환경부,1661-9408,0,2.02E+13,2.02E+13,2.02E+13,,200,동시,26,26290,D0,D006,Y
부산도서관,ME20C290,21,4,부산광역시 사상구 덕포동 415-2,사상구,덕포동,35.1731802,128.9849642,24시간 이용가능,ME,환경부,환경부,1661-9408,0,2.02E+13,2.02E+13,2.02E+13,,200,동시,26,26530,I0,I005,Y
부산도서관,ME20C290,22,4,부산광역시 사상구 덕포동 415-2,사상구,덕포동,35.1731802,128.9849642,24시간 이용가능,ME,환경부,환경부,1661-9408,0,2.02E+13,2.02E+13,2.02E+13,,200,동시,26,26530,I0,I005,Y
부산 봉래산 역사테마공원 공영주차장,BNOB0502,1,4,부산광역시 영도구 청학동 483-6,영도구,청학동,35.086012,129.059829,24시간 이용가능,BN,블루네트웍스,블루네트웍스,1833-9131,0,2.02E+13,,,,100,동시,26,26200,B0,B001,Y
부산 봉래산 역사테마공원 공영주차장,BNOB0502,2,4,부산광역시 영도구 청학동 483-6,영도구,청학동,35.086012,129.059829,24시간 이용가능,BN,블루네트웍스,블루네트웍스,1833-9131,0,2.02E+13,,,,100,동시,26,26200,B0,B001,Y
부산 봉래산 역사테마공원 공영주차장,BNOB0502,3,4,부산광역시 영도구 청학동 483-6,영도구,청학동,35.086012,129.059829,24시간 이용가능,BN,블루네트웍스,블루네트웍스,1833-9131,0,2.02E+13,,,,50,동시,26,26200,B0,B001,Y
부산 봉래산 역사테마공원 공영주차장,BNOB0502,4,4,부산광역시 영도구 청학동 483-6,영도구,청학동,35.086012,129.059829,24시간 이용가능,BN,블루네트웍스,블루네트웍스,1833-9131,0,2.02E+13,,,,50,동시,26,26200,B0,B001,Y
